country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap,Region,IncomeGroup
ARE,2000,84729.1,0.2751545546048424,17504.7,-0.4852815328169733,100.0,27691.025,895.8324,6.112729361045069,5.58038700101525,104337372362.15112,30050.0,3275333,2627996,7.702055758941144,25.86885058710061,Middle East & North Africa,High income
ARG,2000,132265.5,0.309098398743112,3461.8,3.665790595353791,95.6804733276367,119811.105,38831.5776,1.3466468981516686,1.13327702210541,284203750000.0,7430.0,37070774,33045629,46.95818671460779,3.567918490183129,Latin America & Caribbean,Upper middle income
AUS,2000,339422.8,0.6725713836897427,2107.3,3.581377472203769,100.0,165945.0627,98386.78327,0.984333804176905,1.14447285147721,415844972940.49646,21280.0,19028802,16028911,59.28810382307383,17.837318397658454,East Asia & Pacific,High income
BEL,2000,117274.6,0.4116607594302751,8021.4,37.47531229790867,100.0,12136.78323,7694.74207,0.308431312307231,0.242517956221334,236792460312.4711,25890.0,10251250,9956937,45.89167767503303,11.440029264723815,Europe & Central Asia,High income
BGD,2000,20686.7,0.1017079567105748,3384.4,0.5253620892360888,32.0,70956.84134,19647.05865,3.563966632141033,1.90552404891968,53369787318.62453,430.0,129193327,30476706,72.21325958362141,0.1601220471704393,South Asia,Lower middle income
BRA,2000,313670.8,0.1982824971917566,2643.3,5.033917141191494,94.4314117431641,331764.46,123867.3144,2.227693973565337,1.36677132973907,655448188246.1096,3910.0,175873720,142795391,27.317501262242555,1.7835001158785977,Latin America & Caribbean,Upper middle income
CHE,2000,43708.8,0.1657866104035899,6402.2,8.266524057199712,100.0,5680.136644,2603.164626,0.4870321922888527,0.561954617400164,279209007352.66907,44580.0,7184250,5272018,39.62149580002024,6.083975362772732,Europe & Central Asia,High income
CHL,2000,50424.5,0.3469041159657572,4362.1,6.210891849745996,97.938687,12473.5525,6616.743,1.4923628515748826,1.14904172536735,78249883995.6255,5080.0,15351799,13213754,20.32192293001512,3.2845987626596727,Latin America & Caribbean,High income
CHN,2000,3346525.8,0.908532312450942,4756.4,3.4751259725305785,96.7450561523438,807417.2368,375670.6879,3.6492527111585376,0.787956592953992,1211331627478.9976,940.0,1262645000,452999147,55.57004466985687,2.650409101528933,East Asia & Pacific,Upper middle income
CMR,2000,5209.1,0.1656873969198288,1763.5,1.5114447329635718,41.0,17725.8325,62455.7674,3.957808167192432,2.63602726719356,10566579294.516369,720.0,15091594,6873014,19.37763110575194,0.3451656597705981,Sub-Saharan Africa,Lower middle income
